Business Name,Business Address,Contact Name,Contact Phone,Website URL
"Old World Granite & Stone, LLC","8560 US HWY 377, Pilot Point  TX, 76258  ",Tamie Devine,972-488-3787,http://owgs.co
Opal Home LLC,"1234 Medical District Drive, Ste C, Dallas TX, 75207  ",Megan Bond,469-436-7950,http://www.opalhome.com
"TG Cabinets of North Texas, Inc.","PO Box 549, Palmer TX, 75152  ",Tracy W Gibbons,972-449-3230,
Dragon Holdings,"779 W Main St, Coppell TX, 75019  ",Eli Dragon,,http://www.dragonholdings.com
"Terra Verde Group, LLC","Craig Martin, Prosper TX, 75078  ",Tellus Group LLC,972-238-7410,
Michael Joyce Properties,"767 Justin Rd., Rockwall TX, 75087  ",Meredith Joyce,512-694-6394,http://www.michaeljoyceproperties.com
Astra Development,"3625 Hall St Ste 700, Dallas TX, 75219  ",Justin Bono,214-662-5530,http://www.astracompanies.com
Forestar Group,"2221 E. Lamar Blvd, Suite 790 , Arlington TX, 76006  ",Kevin Lazares,214-684-1019,https://www.forestar.com/home/default.aspx
Gail Murphy,"600 N. Pearl #2350 LB149, Dallas TX, 75201  ",Wynne/Jackson Inc.,214-880-8659,
Texas Material Supply,"405 N Collins St, Arlington TX, 76011  ",Khalid Mahmood,469-662-5248,https://texasmaterialsupply.com/
The Shaddock Companies,"William Shaddock, Plano TX, 75093  ",The Shaddock Companies,972-526-7756,
Tesch Development & Management,"2001 Auburn Hills Pkwy, Ste 704, McKinney TX, 75071  ",Robert E Tesch,469-795-6615,http://www.btitexas.com
Siepiela Interests,"12222 Merit Drive, Dallas TX, 75251  ",James Siepiela,972-960-2777,
Colin Huffines,"8222 Douglas Ave. Ste 250, Dallas TX, 75225  ","Huffines Enterprises, Inc.",214-526-3000,
"Tomlin Investments, Ltd.","4265 Kellway Circle, Addison TX, 75001  ",Dan Tomlin III,972-239-0707,http://www.tomlininvestments.com
Ryan Joyce,"767 Justin Rd., Rockwall TX, 75087  ",Michael Joyce Properties,512-965-6280,
Cambridge Companies,"8750 N. Central Expressway, Suite 1735, Dallas TX, 75231  ",Matthew Alexander,214-691-2556,
LandPlan Development,"5850 Granite Parkway, Suite 100, Plano TX, 75024  ",Douglas Mousel,214-618-3800,
Anthony Properties Development,"12770 Coit Rd, Ste 970, Dallas TX, 75251  ",Ross Anthony,972-991-4484,
DFW Land,"6565 N. MacArthur Blvd. #225 , Irving TX, 75039  ",Vijay Borra,972-304-0506,http://www.dfwland.com
Fred Balda,"3000 Turtle Creek Blvd., Dallas TX, 75219  ",Hillwood Communities,972-201-2984,http://www.hillwoodcommunities.com
Wilbow Corporation,"5307 E Mockingbird Lane #900, Dallas TX, 75206  ",Matt Johnson,972-994-1672,
RM2 Developments,"2256 Bells Chapel Rd., Waxahachie TX, 75165  ",Ragen Martinek,214-325-9018,
Johnson Development,"835 E. Lamar Blvd. #254, Arlington TX, 76011  ",Debra Meers,817-200-6543,
V&D Constructions,"5999 Custer Rd., Ste. 110-326, Frisco TX, 75035  ",Vishal Reddy,469-912-0703,
Sunshine Development Group,"9244 Prestmont Pl, Ste 308, Frisco TX, 75035  ",Ningzhi Sun,214-457-9983,
Matthews Southwest,"320 W. Main Street, Lewisville TX, 75057  ",Mary Day,972-221-1199,http://www.matthewssouthwest.com
Tellus Group LLC,"130 N. Preston Rd.  Suite 130 , Prosper TX, 75078  ",David R. Blom,469-532-0689,http://www.windsongranchliving.com
Nicholas Moore,"3000 Turtle Creek Blvd, Dallas TX, 75219  ",Hillwood Communities,214-232-7269,https://www.hillwoodcommunities.com/
"Huffines Communities, Inc.","8200 Douglas Ave., #300, Dallas TX, 75225  ",Phillip Huffines,214-750-1800,https://huffinescommunities.com/
Brookfield Properties,"4835 LBJ Frwy., Ste 690, Dallas TX, 75244  ",Julenne Rushing,972-370-5481,http://www.newlandcommunities.com
"Huffines Enterprises, Inc.","8222 Douglas Ave. Ste 250, Dallas TX, 75225  ",Donald Huffines,214-526-3000,http://www.huffinesenterprises.com
Blue Star Land L.P.,"8000 Warren Pkwy., Ste 100, Frisco , 75034  ",Kerry Harrington,972-867-1886,
Peter Shaddock Jr.,"2400 Dallas Pkwy., Ste 460, Plano TX, 75093  ",The Shaddock Companies,972-526-7700,
Hillwood Communities,"3000 Turtle Creek Blvd., Dallas TX, 75219  ",Diana Carroll,972-201-2811,https://www.hillwoodcommunities.com/
Ladd Holdings,"2727 Routh St., Dallas TX, 75201  ",Bob Ladd,214-651-3020,
Tiffany Darst,"400 East Las Colinas Blvd., Irving TX, 75039  ",Ashlar Development,469-513-5607,
"CSO Land Development, LLC","8301 Lakeview Parkway Ste 111-237, Rowlett TX, 75088  ",Christopher Orr,214-724-9281,http://www.CSOdevelopment.net
Wynne/Jackson Inc.,"600 N. Pearl #2350 LB149, Dallas TX, 75201  ",Franklin Murphy,214-880-8792,http://www.wynnejackson.com
Hillwood Communities,"Andrew Pieper, Dallas TX, 75219  ",Hillwood Communities,972-201-2938,
Shaf Development LLC,"5849 Aylworth Dr., Frisco TX, 75035  ",Faizal Moosa,214-724-0643,https://moosarealtygroup.com/development
The Shaddock Companies,"2400 Dallas Pkwy., Ste 580, Plano TX, 75093  ",Peter Shaddock Sr.,972-985-5505,
Beacon Hill on Cedar Creek Lake,"12900 US Hwy 175, Kemp TX, 75143  ",Joe McGinley,903-498-5253,http://liveatbeaconhill.com/
Ashlar Development,"400 East Las Colinas Blvd., Ste 1075, Irving TX, 75039  ",Steve Yetts,469-513-5601,
Huawei Yin,"3000 Turtle Creek Blvd., Dallas TX, 75219  ",Hillwood Communities,972-201-2813,https://www.hillwoodcommunities.com/
Green Brick Partners,"2805 Dallas Parkway, Suite 400, Plano TX, 75093  ",Jed Dolson,469-573-6755,http://greenbrickpartners.com
RREAF Holdings,"1909 Woodall Rodgers Fwy, Dallas TX, 75204  ",Clark Lundy,214-522-3300,https://rreaf.com
McCaleb,"401 S Coit, McKinney TX, 75072  ",Bimpe Kalejaiye,469-981-9662,
Corey Pruitt,"16800 Westgrove Dr, Ste 300, Addison TX, 75001  ","KWA Construction, L.P.",214-978-0177,http://www.kwaconstruction.com
Churchill Residential Inc.,"5605 N. MacArthur Blvd., # 580, Irving TX, 75038  ",Bradley Forslund,972-550-7800,
Maker Bros. LLC,"4901 Keller Springs Rd Ste. 101, Addison TX, 75001  ",Justin Bailey,972-807-2565,http://makerbros.net/
Billingsley Company,"1722 Routh Street, Ste. 770, Dallas TX, 75201  ",Lee Thomas,214-270-1000,https://www.billingsleyco.com/
"OM Housing, LLC","5033 Brookview Drive, Dallas TX, 75220  ",Deepak Sulakhe,214-432-7610,http://www.omhousing.com
Value Builders,"330 N 8th St, #102, Midlothian TX, 76065  ",Melanie Brewer,972-775-8112,http://www.valuebuilders.com
USA Capital Finance Group,"10455 N. Central Expy #109-332, Dallas TX, 75231  ",Kathryn Thompson,469-729-3801,
"DFWTXGC, LLC","418 Jones Street, #300, Lewisville TX, 75057  ",Howard Akin,972-628-4705,
John Daily,"5055 Keller Springs Rd, Ste 550, Addison TX, 75001  ",Sparrow Construction,469-500-4757,
Ricardo Adams,"2150 S. Central Expressway Suite 200, Mckinney TX, 75070  ",Landmark Structural Builders,813-304-8629,
"Trinsic Residential Builders, LLC","8235 Douglas Ave Ste 950, Dallas TX, 75225  ",Kenny Hammons,214-462-7190,
Sparrow Construction,"5055 Keller Springs Rd, Ste 550, Addison TX, 75001  ",Spencer Wyman,972-523-0220,
"Andres Construction, LLC","3710 Rawlins, Dallas TX, 75219  ",Warren Andres,214-521-2118,http://www.andresconstruction.com
Shreve Land Constructors,"5757 Alpha Road, Ste 400, Dallas TX, 75240  ",Trevor H. Squibb,469-331-8324,
Cadence McShane Construction Company,"5057 Keller Springs RD, Addison TX, 75001  ",John Schmidt,972-239-2336,
Dillon Bradbury,"3751 S US Hwy 287, Waxahachie TX, 75165  ",Acker Bradbury Construction,469-383-5939,
Legacy Partners,"2999 Olympus Blvd, Ste 240, Dallas TX, 75019  ",Matt Brendel,972-728-7206,http://LEGACYPARTNERS.COM
Urban Innovations,"1515 N. Washington, Dallas TX, 75204  ",James Moore,469-583-3300,
Spring Valley Construction Company,"10950 Alder Circle, Dallas TX, 75238  ",Randy Stephens,214-340-9800,http://www.svcc.biz/
Tonti Properties,"4949 Westgrove Dr., Ste 100, Dallas TX, 75248  ",Adam Auensen,972-447-9035,
C&M Urban Developers,"2410 Luna Rd Ste 138, Carrollton TX, 75006  ",Umair Meghani,469-583-5358,http://www.cmurbandev.com
Tom Philley,"6950 TPC Drive, McKinney TX, 75070  ",Moss Construction Managers,469-625-9020,http://mosscm.com
"KWA Construction, L.P.","Brian Webster, Addison TX, 75001  ","KWA Construction, L.P.",214-978-0177,
"BBLbc, LLC","5217 Tennyson Pkwy Ste 500, Plano TX, 75024  ",Mark Lear,214-276-0433,
SRC Construction & Development LLC,"720 E Park Blvd. Ste 100, Plano TX, 75074  ",Barbaros Sarici,929-295-7010,http://www.srcgroup.us
Chandler Tucker,"3611 William D Tate Ave, Grapevine TX, 76051  ",Bob Moore Construction,214-909-8608,
Acker Bradbury Construction,"3751 S US Hwy 287, Waxahachie TX, 75165  ",Dillon Bradbury,469-383-5939,http://www.ackerbradbury.com
Landmark Structural Builders,"2150 S. Central Expressway Suite 200, Mckinney TX, 75070  ",Shawna Guevara,254-245-2358,
Alpine Start Development,"4827 Memphis St., Dallas TX, 75207  ",Edwin Williams,469-321-7594,https://alpinestartdev.com/
Presidium Property Management LLC,"3100 McKinnon St Ste 250, Dallas TX, 75201  ",Kerry Bowe,214-306-6589,
"KWA Construction, L.P.","16800 Westgrove Dr., Ste 300, Addison TX, 75001  ",Corey Pruitt,214-978-0177,https://kwaconstruction.com/
"Conine Residential Group, Inc.","2009 RR 620 North Suite 225, Austin TX, 78734  ",Kent Conine,972-386-6600,
Moss Construction Managers,"6950 TPC Drive, Ste 300, McKinney TX, 75070  ",Stephanie Clausing,469-625-9022,
Bob Moore Construction,"3611 William D Tate Ave, Grapevine TX, 76051  ",Mark Duvall,817-640-1200,http://www.generalcontractor.com
JPI Construction LLC,"600 E. Las Colinas Blvd  , Irving TX, 75039  ",Richard Deapen,972-556-3880 ,
"Bluestone Partners, LLC","4708 N FM 1417, Sherman TX, 75092  ",David Salmond,903-813-1415,http://www.bluestonebuild.com
"Anderson Development & Construction, LLC","347 Walnut Grove Lane, Coppell TX, 75019  ",Terri Anderson,972-567-4630,
Chris Dorman,"6950 TPC Drive, McKinney TX, 75070  ",Moss Construction Managers,469-625-9051,http://mosscm.com
Blackburn Construction,"800 Parker Square Rd. Suite 230, Flower Mound TX, 75028  ",Brian Maynor,972-213-4072,http://www.blackburnconstructioninc.com
Elite Remodeling,"2930 Preston Rd, Ste 980, Frisco TX, 75034  ",John Todd,972-334-9800,
Allhaus Texas,"1403 Slocum St. Ste 104, Dallas TX, 75207  ",Jim Grant,214-470-9001,
Villa Surfaces LLC,"11355 State Hwy 205, Rockwall TX, 75032  ",Jaime Villarreal,214-769-2981,
Interior Runway,"2050 FM 423, Little Elm TX, 75068  ",Hannah Miller,214-708-5546,http://www.interiorrunway.com
TSG General Contractors,"5900 Weston Dr, McKinney TX, 75070  ",Kevin Souders,469-443-6771,
Texas Custom Patios,"8412 Sterling Street, Suite 100, Irving TX, 75063  ",Steven Schell,972-915-2727,
Haven Home Services,"5811 Ellsworth Ave, Dallas TX, 75206  ",Robin Frazier,469-960-3220,http://enjoyyourhaven.com
Build Worx Construction,"2650 FM 407E, STE 145-136, Bartonville TX, 76226  ",Heath Gage,903-521-2443,https://buildworxconstruction.com/
Tim Jackson Custom Remodeling,"1325 Country Club Rd, Allen TX, 75002  ",Brent Pillers,806-663-6667,
Blackline Renovations,"4849 Greenville Ave. Suite 1330, Dallas TX, 75206  ",Chris Black,214-827-3747,
C3CC,"1971 University Business Drive, Suite 104, McKinney TX, 75071  ",Bruce Canerday,945-234-2322,http://c3cc.pro
Alair Homes - Zuch,"25 Highland Park Village Suite 100-294, Dallas TX, 75205  ",Paul Zuch,214-495-7200,
Alair Homes DFW- Hatfield,"305 W Spring Creek Pkwy, Plano TX, 75023  ",Diane Hatfield,214-281-8800,
Cristina Villarreal,"11355 State Hwy 205, Rockwall TX, 75032  ",Villa Surfaces LLC,469-243-4704,
Alair Homes – Hammel Snider,"4508 Lovers Ln, Dallas TX, 75225  ",James Hammel,214-882-2140,
Stuart Margol Companies,"6869 Frankford Rd, Ste 108, Dallas TX, 75252  ",Stuart Margol,972-713-7600,
Your Home Expert,"16801 Addison Rd. Ste 110, Addison TX, 75001  ",Michael Tiomkin,469-777-8834,https://myexpertdfw.com/
NTX Property Pros LLC,"P.O. Box 254, Aubrey TX, 76227  ",Jamie Osmanovic,940-367-0761,
Bella Vista Company L.P.,"8989 Garland Road, Dallas TX, 75218  ",Darin Breedlove,214-823-0033,
Koonsman & Co.,"100 B Riveredge Dr., Dallas TX, 75207  ",Cathy Koonsman,214-366-3901,
River Oak Renovations,"1300 S Polk St, Unit 295, Dallas TX, 75224  ",Isaac Martinez,214-621-8455,https://riveroak.build
The Ratcliff Company LLC,"6814 Walnut Hill Ln, Dallas TX, 75230  ",Evan Ratcliff,214-494-8480,http://theratcliffcomapany.net
Wald Custom Homes,"6809 Rainwood Drive, Plano TX, 75024  ",Eric Wald,469-767-1747,
Tuggle Design,"3521 Cabriolet Ct., Plano TX, 75023  ",Aubrey Tuggle,214-704-9989,
Bailey Longacre,"411 Harn Dr., Lewisville TX, 75057  ",Longacre Construction,972-436-6200,https://longacreconstruction.com/
Elyse Design & Build LLC,"507 S Barnett Ave, Dallas TX, 75211  ",David Cervantes,843-614-0581,
Tesla Homes,"15150 Preston Road, Ste. 300, Dallas TX, 75248  ",Danette Galvis,214-663-0771,http://www.teslahomesolutions.com
Mod Haven,"4154 Brookport, Dallas TX, 75229  ",Christine Colling,214-417-4141,
Clear Cut Choice LLC,"1424 Navasota Trail, Plano TX, 75075  ",Jeff Saba,214-718-7222,https://clearcutchoice.com/
"Underwood Custom Homes, LLC","25 Highland Pk Vg, Dallas TX, 75205  ",Randall Underwood,214-521-3745,
Ahlers Roofing and Construction LLC,"2333 Minnis Dr, Ste B, Haltom City TX, 76117  ",Stephen Orefice,817-793-2424,http://www.ahlersroofing.com
AB-TX Construction,"322 MacArthur Blvd, Grand Prairie TX, 75050  ",Julio Quiroz,682-325-2070,http://ab-tx.com
Longacre Construction,"411 Harn Dr., Lewisville TX, 75057  ",Carol Longacre,972-436-6200,
A Team Renovations,"313 Stoney Creek Blvd, Sunnyvale TX, 75182  ",Mariqus Alexander,214-206-1939,http://www.a-teamrenovations.com
"Stewart Concepts, Inc","107 Weston Dr, Fate TX, 75189  ",Mike Stewart,972-345-2141,http://www.stewartconcepts.net
"Atlas National Renovations, LLC","720 E Park Blvd, Ste 202, Plano TX, 75074  ",Dan Mulhern,214-814-4300,http://www.anrenovations.com
GOLOUDON,"6703 Garlinghouse Ln., Dallas TX, 75252  ",Gregory Loudon,214-500-7210,
Gillis Custom Homes,"10233 E NW Hwy Ste. 38433, Dallas TX, 75238  ",Steve Gillis,214-797-5527,http://GillisCustom.com
Transom Remodeling LLC,"2007 N Collins Blvd, Suite 501, Richardson TX, 75080  ",Carlos Adame,469-818-0134,
RH Residential Renovations,"314 Country View Lane, Garland TX, 75043  ",Robert Holte,972-996-2520,
"Edinburgh Custom Homes, Inc.","4516 Lovers Lane, Ste 385, Dallas TX, 75225  ",John Gilley,214-336-2228,
Landmark Custom Remodeling,"450 Century Parkway, Allen TX, 75013  ",Reese Layton,469-250-1101,http://www.landmarkcustomremodeling.com
Tracy Mitchell Custom Homes Inc.,"1617 Maple Dr, Kemp TX, 75143  ",Tracy Mitchell,214-794-6098,
Aberdeen Builders & Developers,"3400 N Central Expy Ste 110-322, Richardson TX, 75080  ",Jordan Denzer,972-362-9779,
TJG Contractor Services,"1900 Jay Ell Dr., Richardson TX, 75081  ",Thomas J Goll,214-435-7741,
USI Design & Remodeling,"2100 N. Hwy 360 Ste 1603, Grand Prairie TX, 75050  ",Gordon Zoellner,972-206-0750,
Kasper Custom Remodeling LLC,"17630 Davenport Rd, #113, Dallas TX, 75252  ",Stephen Kasper,972-239-3733,
Alair Homes - Lowry,"5322 HILTON HEAD DR, DALLAS TX, 75287  ",Cole Lowry,214-558-4500,https://www.alairhomes.com/dfw217
"Spruill Remodel, LLC","1205 Valley Trail, Heath TX, 75032  ",Brandon Spruill,214-226-7796,http://spruillremodel@yahoo.com
Shedio LLC,"2410 Madera St., Dallas TX, 75206  ",John Bearg,972-757-9114,https://myshedio.com/
Kasper Custom Remodeling LLC,"Greg Paris, Dallas TX, 75252  ",Kasper Custom Remodeling LLC,972-239-3733,
"RJA Construction, LLC","P.O. Box 601632, Dallas TX, 75360  ",Chanda Rousseau,972-626-5363,
SPRUCED,"10440 N Central Expressway, Ste 800, Dallas TX, 75231  ",William Porter,214-516-7677,http://www.spruced.decoratingden.com
"Stark Homes, LLC","3801 Amherst Avenue, Dallas TX, 75225  ",Taylor Stark,214-502-3270,
Cleve Adamson Custom Homes,"27 Manor Lane, Lucas TX, 75002  ",Cleve Adamson,214-212-5377,
Lisa Bibawi,"10440 N Central Expressway, Ste 800, Dallas TX, 75231  ",SPRUCED,214-516-7677,
"Manning Remodeling + Construction, Inc.","PO Box 250842, Plano TX, 75025  ",Rick Manning,214-316-1949,http://www.ManningRandC.com
Sean Ward,"2410 Madera St., Dallas TX, 75206  ",Shedio LLC,415-969-0583,
BEXA Construction LLC,"4447 N Central Expwy, Ste 110 #112, Dallas TX, 75204  ",Giovanni Baena,469-728-4498,http://www.bexaconstruction.com
"A1 Red River Home Builders, Inc.","2510 SHADY OAKS LN, Sherman TX, 75092  ",Bryan Rockwell,903-819-3017,
Classic Urban Homes,"13610 Midway Rd. Ste 246, Farmers Branch TX, 75244  ",Michael Turner,214-215-1768,
"Lingenfelter Luxury Homes, LLC","2904 Corporate Circle, Suite 101, Flower Mound TX, 75028  ",Adam Lingenfelter,972-410-4141,
Altura Homes,"5763 State Hwy 205, Suite 100, Rockwall TX, 75032  ",Kelly Hoodwin,972-772-1800,
"Ogden Custom Homes, Inc.","10100 N. Central Expy. #346, Dallas TX, 75231  ",Chris Ogden,214-733-2414,
Tommy Ford Construction,"7557 Rambler Rd, Ste 725, Dallas TX, 75231  ",Tommy Ford,972-991-1081,
Jim Johnson Group,"P O Box 846, DeSoto TX, 75123  ",Jim Johnson,972-780-9800,
Hoffmann Homes,"7324 Gaston Avenue #124-341, Dallas TX, 75214  ",Alan G Hoffmann,214-324-0046,
Halifax Homes Inc.,"1024 Westwood Dr., Plano TX, 75075  8517",Gordon B Greeson,972-562-7000,
Kelly Hoodwin,"5763 S. State Hwy 205, Suite 100, Rockwall TX, 75032  ",Altura Homes,972-772-1800,
"Bauhaus Modern Homes, LLC","8350 N. US 75 Central Expressway Ste 1900, Dallas TX, 75206  ",Harrison South,214-256-4846,
Arneson Custom Homes,"10751 Mapleridge Dr., Dallas TX, 75238  ",Gary Arneson,972-833-7222,http://Arnesoncustomhomes.com
Susan Walls,"P.O. Box 2215, Cedar Hill TX, 75106  ",Winston Custom Homes LLC,214-535-3985,
Gramercy Custom Homes,"1914 Skillman St., Suite 110-381, Dallas TX, 75206  ",Kevin Metz,214-584-6225,
"Tag & Associates, LLC","1420 Valwood Pkwy, Ste 100, Carrollton TX, 75006  ",Tag Gilkeson,469-544-1000,
Dan Whetstine,"9111 Cypress Waters, Blvd, Suite 100, Coppell TX, 75019  ",Pulte Group,919-632-5655,
Bob Bobbitt Company Inc.,"8000 Warren Pkwy., Ste 204, Frisco TX, 75034  ",Bob Bobbitt,972-979-9115,
"BufordHawthorne Builders, LP","1340 Motor Circle, Dallas TX, 75207  ",Barry Buford,214-232-0235,http://bufordhawthorne.com
Thomas Cusick Custom Homes,"13901 Midway Rd, Ste 102-274, Dallas TX, 75244  ",Tom Cusick,214-728-9396,https://www.thomascusickhomes.com/
Grace Homebuilding Company,"1340 CR 208, Gainesville TX, 76240  ",Corry Blount,469-853-0552,
Trophy Signature Homes,"5501 Headquarters Dr, Ste 300W, Plano TX, 75024  ",Yvette Rhea,214-550-5733,
"Victor Myers Construction, LLC","920 Show Master Ct, Bartonville TX, 76226  ",Victor Myers,214-636-6829,
Veranda Designer Homes,"P O Box 93208, Southlake TX, 76092  ",Betty Baker,214-202-2775,
Bill D. Bennett Construction Inc.,"701 S. Bryan Beltline Rd. #100, Mesquite TX, 75149  ",Bill Bennett,972-226-1064,
Aaron Wallrath Custom Homes,"1420 Rolling Hills, Celina TX, 75009  ",Aaron Wallrath,281-924-9737,
Jonathan Correa,"8500 N. Stemmons Frwy, Dallas TX, 75247  ",Divino Homes,469-992-2872,
JLCI Homes,"3225 McLeod Dr, Ste 100, Las Vegas NV, 89121  2257",Brian Carrington,205-249-3372,https://www.jlcihomes.com
Hook and Irons Construction LLC,"5988 W Sky Hawk Trail, Royse City TX, 75189  ",Denton Garcia,469-499-6322,
DTE Management,"904 Majestic Point, Heath TX, 75032  ",Toni Evans,972-877-1519,
Langford Custom Homes,"10232 Daria Drive, Dallas TX, 75229  ",Ben Langford,972-835-0706,https://www.langfordcustomhomes.com/
Rock Estate,"240 St. Andrews Dr, Heath TX, 75032  ",Manny Arias,214-733-7306,
"Jackson Contractors, LC","PO Box 170967, Arlington TX, 76003  0967",Sean Jackson,817-572-0949,
Taylor Humphrey,"6950 TPC Dr. Suite 150, McKinney TX, 75070  ",Pacesetter Homes,469-712-5412,
Texas Best Construction,"940 FM 2377, Red Oak TX, 75154  ",Joshua Helm,469-552-8205,http://TexasBestBarndominium.com
Bengfort Construction Inc,"312 FM 1200, Gainesville TX, 76240  ",Michael Bengfort,940-736-6454,
Perry Homes ,"9000 Gulf Fwy, Houston TX, 77017  ",Billy Shirley,800-247-3779,
Mattamy Homes,"1801 Wittington Place, Ste. 100, Farmers Branch TX, 75234  ",Al Tuten,469-892-7184,https://mattamyhomes.com/texas/dallas
